Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_01755	647	537	753	517	451	580
EAV54_01760	6216	6574	8149	4038	3987	4105
EAV54_01765	1565	1397	1743	774	838	841
EAV54_01770	104	80	111	123	85	106
EAV54_01775	324	215	242	182	264	306
EAV54_01780	958	964	1271	601	676	617
EAV54_01785	22513	17741	19502	7350	9372	8801
EAV54_01790	733	588	778	541	614	707
EAV54_01795	3484	3163	4400	3087	3573	3466
EAV54_01800	240	212	277	260	252	274
EAV54_01805	1234	1131	1204	6894	7486	6960
EAV54_01810	1046	875	1257	1254	1153	1254
EAV54_01815	1243	1010	1450	1158	1129	1224
EAV54_01820	1377	1196	1766	613	552	629
EAV54_01825	441	342	529	529	551	595
EAV54_01830	10954	9744	13705	17634	19019	19279
EAV54_01835	1874	1542	1996	2607	2934	3002
EAV54_01840	1690	1343	1819	2107	2342	2299
EAV54_01845	5980	4924	6010	7678	9037	8774
EAV54_01850	3361	2657	3417	4686	5581	5346
EAV54_01855	1526	1277	1692	1893	2171	2197
EAV54_01860	6753	5868	8094	84085	84304	78223
EAV54_01865	222	117	207	65	62	60
EAV54_01870	674	564	521	650	803	702
EAV54_01875	8377	9736	12159	11627	10748	10504
EAV54_01880	6233	6155	7947	9083	8211	8117
EAV54_01885	49	54	57	47	44	44
EAV54_01890	158	124	178	80	82	87
EAV54_01895	0	0	0	0	0	0
EAV54_01900	31	25	43	13	10	8
EAV54_01905	0	0	0	0	0	0
EAV54_01910	2181	1950	2201	1828	2213	2216
EAV54_01915	844	794	872	717	844	916
EAV54_01920	0	0	0	0	0	0
EAV54_01925	544	453	588	403	419	357
EAV54_01930	124	103	124	100	111	75
EAV54_01935	292	242	291	464	507	414
EAV54_01940	2108	1874	2215	2656	2335	2475
EAV54_01945	1154	713	866	666	677	795
EAV54_01950	918	797	946	3554	4692	4170
EAV54_01955	920	786	1099	587	658	596
EAV54_01960	441	444	543	550	598	567
EAV54_01965	3576	3276	3554	2749	3512	3370
EAV54_01970	709	665	806	586	646	682
EAV54_01975	1505	1206	1313	1357	1698	1704
EAV54_01980	1632	1311	1574	1152	1335	1492
EAV54_01985	18231	15170	15776	14471	17571	18883
EAV54_01990	1232	1032	1233	1365	1684	1613
EAV54_01995	1356	1163	1348	1256	1752	1759
EAV54_02000	1616	1378	1554	7169	7600	7327
EAV54_02005	2969	2335	2844	23938	23881	22858
EAV54_02010	301	266	242	2435	2678	2542
EAV54_02015	701	724	863	714	812	870
EAV54_02020	533	416	514	472	593	627
EAV54_02025	246	198	191	192	224	226
EAV54_02030	242	218	240	249	238	271
EAV54_02035	1562	1281	1513	1264	1465	1494
EAV54_02040	1176	922	1024	1052	1270	1252
EAV54_02045	342	282	342	646	820	715
EAV54_02050	4639	4171	4739	5169	5949	5873
EAV54_02055	1277	1010	1294	1366	1532	1656
EAV54_02060	1263	884	1091	686	771	872
EAV54_02065	913	829	1117	834	793	929
EAV54_02070	1193	1050	1424	1034	1160	1143
EAV54_02075	283	234	273	318	366	318
EAV54_02080	668	624	791	525	628	568
EAV54_02085	0	0	0	1	2	3
EAV54_02090	3960	3874	4764	2852	3499	3424
EAV54_02095	759	630	837	455	572	611
EAV54_02100	113	80	146	105	140	95
EAV54_02105	14810	12379	12708	10538	12136	14822
EAV54_02110	12195	10411	12207	11186	14714	15249
EAV54_02115	3551	2880	3372	3314	4312	4509
EAV54_02120	8052	7242	8846	8032	10496	10772
EAV54_02125	7783	5848	7102	7208	9931	10925
EAV54_02130	2565	2245	2841	2599	3188	3720
EAV54_02135	2724	2254	2586	2476	2995	3712
EAV54_02140	7356	6298	7364	7492	9127	10618
EAV54_02145	2812	2396	2962	2760	3272	3927
EAV54_02150	8457	7600	9700	10072	11029	12791
EAV54_02155	4938	3723	3775	3962	4722	6223
EAV54_02160	7031	5686	6710	6528	8216	8673
EAV54_02165	17452	15383	19147	18533	21444	24261
EAV54_02170	4727	3585	4157	4266	5575	6187
EAV54_02175	2901	2302	2749	2779	3319	3943
EAV54_02180	5801	4733	5548	5749	7174	7750
EAV54_02185	4392	3763	4487	4127	5139	5954
EAV54_02190	1116	947	1090	1290	1479	1749
EAV54_02195	1658	1349	1710	1474	1948	2190
EAV54_02200	387	362	363	417	386	599
EAV54_02205	1110	933	1138	1028	1350	1628
EAV54_02210	13001	11762	14564	14212	17836	20158
EAV54_02215	317	308	395	324	344	388
EAV54_02220	22160	19586	21469	22272	28868	31667
EAV54_02225	10627	8801	9551	10706	13196	15398
EAV54_02230	6257	5324	6146	6564	8079	8921
EAV54_02235	18748	17119	21047	21723	28353	29365
EAV54_02240	1653	1522	1696	1880	2095	2507
EAV54_02245	931	755	998	1847	2202	1916
EAV54_02250	425	349	390	354	349	344
EAV54_02255	266	254	318	234	224	238
EAV54_02260	17	16	22	27	17	20
EAV54_02265	736	617	726	1170	1416	1369
EAV54_02270	227	206	246	355	422	343
EAV54_02275	1057	939	1083	2274	2500	2571
EAV54_02280	368	280	367	444	389	454
EAV54_02285	1405	1184	1295	1638	1735	1834
EAV54_02290	12073	9777	11944	15735	17100	17218
EAV54_02295	8003	6985	8670	5610	6364	6112
EAV54_02300	9	4	4	5	4	1
EAV54_02305	344	216	204	266	216	372
EAV54_02310	5	8	7	11	5	7
EAV54_02315	51	58	73	65	52	58
EAV54_02320	2629	2367	2868	1087	1254	1233
EAV54_02325	1	1	2	1	0	0
EAV54_02330	101	92	115	99	98	114
EAV54_02335	583	526	649	512	500	623
EAV54_02340	996	900	1160	1193	1311	1255
EAV54_02345	209	162	241	228	199	182
EAV54_02350	309	327	323	291	325	313
EAV54_02355	1615	1531	1998	1115	1107	1188
EAV54_02360	480	476	533	354	417	385
EAV54_02365	8710	9291	12043	20261	20163	20456
EAV54_02370	3904	3576	4272	39953	41765	37539
EAV54_02375	755	589	891	823	713	798
EAV54_02380	197	149	167	153	200	192
EAV54_02385	2153	1734	1969	1511	1805	1951
EAV54_02390	6644	6041	6951	5089	5960	6001
EAV54_02395	4008	3501	3988	3410	3997	4064
EAV54_02400	4626	4112	4467	12321	14241	13008
EAV54_02405	1162	959	1074	2501	2604	2505
EAV54_02410	1726	1707	1973	1708	1898	2014
EAV54_02415	2083	1979	2527	1598	1389	1392
EAV54_02420	1781	1322	1738	2309	2470	2435
EAV54_02425	220	165	231	200	219	200
EAV54_02430	2215	1942	2480	1549	1791	1900
EAV54_02435	658	499	614	418	507	586
EAV54_02440	1531	1297	1533	1367	1459	1375
EAV54_02445	38	19	30	18	38	16
EAV54_02450	4	0	3	2	2	1
EAV54_02455	0	0	2	1	0	0
EAV54_02460	51	23	30	32	30	32
EAV54_02465	1	0	0	0	0	0
EAV54_02470	22	18	19	16	8	24
EAV54_02475	211	179	210	183	194	181
EAV54_02480	302	279	342	270	304	325
EAV54_02485	99	85	126	93	95	111
EAV54_02490	326	327	386	280	370	314
EAV54_02495	276	221	269	237	222	259
EAV54_02500	277	217	216	177	273	265
EAV54_02505	126	104	125	121	131	109
EAV54_02510	102	91	132	71	114	74
EAV54_02515	539	490	584	475	569	552
EAV54_02520	2870	2517	3821	2902	2660	2963
EAV54_02525	4032	4216	5965	5016	4815	4622
EAV54_02530	731	534	871	789	680	776
EAV54_02535	480	432	602	407	464	495
EAV54_02540	12630	10726	14022	10740	11458	13040
EAV54_02545	764	640	753	527	648	659
EAV54_02550	1161	952	1101	783	991	1141
EAV54_02555	1100	987	1235	954	1001	1063
EAV54_02560	654	576	779	552	431	513
EAV54_02565	354	332	410	252	328	344
EAV54_02570	428	374	419	260	257	326
EAV54_02575	1380	1188	1541	938	1079	1137
EAV54_02580	484	374	509	434	455	431
EAV54_02585	1495	1450	1826	1506	1595	1588
EAV54_02590	1194	977	1273	886	1025	1042
EAV54_02595	834	831	896	554	617	595
EAV54_02600	339	322	364	271	288	277
EAV54_02605	1668	1459	1919	1181	1016	1257
EAV54_02610	37	19	33	4	29	26
EAV54_02615	8	2	0	5	1	1
EAV54_02620	0	0	0	1	2	0
EAV54_02625	49	14	33	25	36	39
EAV54_02630	1	0	0	0	0	0
EAV54_02635	1643	1327	1899	1276	1307	1280
EAV54_02640	0	0	0	0	0	0
EAV54_02645	1133	917	1259	772	704	685
EAV54_02650	979	883	1135	1480	1663	1593
EAV54_02655	1234	1000	1273	1224	1438	1353
EAV54_02660	425	353	362	459	541	579
EAV54_02665	330	321	394	479	513	584
EAV54_02670	0	0	0	0	0	0
EAV54_02675	0	0	0	0	0	0
EAV54_02680	0	0	0	0	0	0
EAV54_02685	0	0	0	1	0	1
EAV54_02690	0	0	0	0	0	0
EAV54_02695	0	0	0	0	0	0
EAV54_02700	0	0	0	0	0	0
EAV54_02705	0	0	0	0	0	0
EAV54_02710	0	0	0	0	0	0
EAV54_02715	0	0	0	0	0	0
EAV54_02720	0	0	0	0	0	0
EAV54_02725	0	0	0	0	0	0
EAV54_02730	0	0	0	0	0	0
EAV54_02735	0	0	0	0	0	0
EAV54_02740	0	0	0	0	0	0
EAV54_02745	0	0	0	0	0	0
EAV54_02750	0	0	0	0	0	0
EAV54_02755	0	0	0	0	0	0
EAV54_02760	0	0	0	0	0	0
EAV54_02765	3	0	7	3	4	2
EAV54_02770	0	0	0	0	0	0
EAV54_02775	0	0	0	0	0	0
EAV54_02780	0	0	0	0	0	0
EAV54_02785	0	0	0	0	0	0
EAV54_02790	0	0	0	0	0	0
EAV54_02795	0	0	0	0	0	0
EAV54_02800	0	0	0	0	0	0
EAV54_02805	0	0	0	0	0	0
EAV54_02810	0	0	0	0	0	0
EAV54_02815	0	0	0	0	0	0
EAV54_02820	0	0	0	0	0	0
EAV54_02825	0	0	0	0	0	0
EAV54_02830	0	0	0	0	0	0
EAV54_02835	0	0	0	0	0	0
EAV54_02840	0	0	0	0	0	0
EAV54_02845	0	0	0	0	0	0
EAV54_02850	129	141	226	78	89	95
EAV54_02855	0	0	0	0	0	0
EAV54_02860	0	0	0	0	0	0
EAV54_02865	0	0	0	0	0	0
EAV54_02870	2732	2906	3714	2780	2499	2836
EAV54_02875	771	681	695	472	585	601
EAV54_02880	678	592	710	634	763	704
EAV54_02885	781	690	867	645	656	718
EAV54_02890	431	409	574	339	388	395
EAV54_02895	349	219	307	335	376	324
EAV54_02900	716	638	667	646	676	683
EAV54_02905	275	316	354	201	233	264
EAV54_02910	56	55	84	54	59	47
EAV54_02915	639	675	610	646	751	711
EAV54_02920	504	470	435	496	592	686
EAV54_02925	1493	1138	1239	1512	1678	1757
EAV54_02930	771	624	512	551	659	840
EAV54_02935	1282	1115	1298	1616	1831	1841
EAV54_02940	77	57	104	28	26	49
EAV54_02945	448	319	512	268	285	285
EAV54_02950	307	243	244	352	365	412
EAV54_02955	6	3	5	8	10	8
EAV54_02960	0	0	0	0	0	0
EAV54_02965	0	0	0	0	0	0
EAV54_02970	0	0	0	0	0	0
EAV54_02975	0	0	0	0	0	0
EAV54_02980	0	0	0	0	0	0
EAV54_02985	0	0	0	1	0	1
EAV54_02990	0	0	0	0	0	0
EAV54_02995	0	1	0	0	0	0
EAV54_03000	0	0	0	0	0	0
EAV54_03005	8455	7666	9592	1984	2230	2242
EAV54_03010	5048	4159	4894	2946	3674	3885
EAV54_03015	4446	4138	4870	3810	5001	4898
EAV54_03020	441	351	460	364	426	448
EAV54_03025	818	612	823	585	564	706
EAV54_03030	358	314	419	317	362	339
EAV54_03035	410	413	548	450	528	583
EAV54_03040	601	565	665	628	638	706
EAV54_03045	3293	3570	4501	2603	2687	2895
EAV54_03050	0	0	0	0	0	0
EAV54_03055	0	2	0	0	0	0
EAV54_03060	0	0	0	0	0	0
EAV54_03065	254	253	289	210	215	182
EAV54_03070	4627	3977	5108	4503	5441	5727
EAV54_03075	119	67	126	231	208	215
EAV54_03080	370	346	368	545	645	580
EAV54_03085	1448	1192	1529	1310	1382	1372
EAV54_03090	371	294	338	123	169	199
EAV54_03095	75	56	56	26366	27352	27538
EAV54_03100	73	61	120	399	412	378
EAV54_03105	2427	2272	2786	4337	4865	4982
EAV54_03110	4010	3448	4012	9569	10639	10589
EAV54_03115	457	272	321	32135	32646	32504
EAV54_03120	1554	1427	1805	12559	13512	13116
EAV54_03125	1867	1621	1993	11830	12408	12500
EAV54_03130	895	758	855	2539	2856	2700
EAV54_03135	6743	5956	6572	3754	4302	3981
